               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  89,            0.069451,            0.065495,                   0,             0.10161,               0.875,             0.11498,            0.040279,             0.09115,            0.062996,                   0,             0.01794,           0.0069396,           0.0069396
                  90,            0.083851,            0.052486,                   0,             0.10161,               0.875,             0.11498,            0.040279,             0.09115,            0.062996,                   0,            0.016995,           0.0069953,           0.0069953
                  91,            0.082184,            0.055592,                   0,             0.21624,                 0.7,              0.2174,            0.078291,            0.075349,            0.050597,                   0,             0.01605,           0.0070505,           0.0070505
                  92,            0.066138,            0.072981,                   0,             0.21624,                 0.7,              0.2174,            0.078291,            0.075349,            0.050597,                   0,            0.015105,           0.0071052,           0.0071052
                  93,            0.065094,            0.056762,                   0,             0.53909,                 0.6,             0.59784,             0.19129,            0.076127,              0.0528,                   0,            0.014159,           0.0071594,           0.0071594
                  94,            0.078017,            0.064029,                   0,             0.53909,                 0.6,             0.59784,             0.19129,            0.076127,              0.0528,                   0,            0.013213,           0.0072131,           0.0072131
                  95,            0.078086,            0.060094,                   0,             0.27725,               0.675,              0.2946,            0.098674,            0.075026,            0.052236,                   0,            0.012266,           0.0072663,           0.0072663
                  96,            0.070824,            0.076277,                   0,             0.27725,               0.675,              0.2946,            0.098674,            0.075026,            0.052236,                   0,            0.011319,            0.007319,            0.007319
                  97,            0.068252,            0.060858,                   0,             0.27166,               0.775,             0.31948,             0.10003,            0.076228,            0.060675,                   0,            0.010371,           0.0073713,           0.0073713
                  98,            0.071642,             0.06325,                   0,             0.27166,               0.775,             0.31948,             0.10003,            0.076228,            0.060675,                   0,            0.009423,            0.007423,            0.007423
                  99,            0.073876,            0.059953,                   0,             0.12581,               0.575,             0.12218,            0.042585,            0.083533,            0.055827,                   0,           0.0084743,           0.0074743,           0.0074743
                 100,            0.080613,            0.059686,                   0,             0.12581,               0.575,             0.12218,            0.042585,            0.083533,            0.055827,                   0,            0.007525,            0.007525,            0.007525
                 101,             0.08077,            0.054091,                   0,             0.47008,               0.675,             0.65374,             0.24638,            0.065129,            0.052434,                   0,            0.007525,            0.007525,            0.007525
                 102,            0.070448,            0.065264,                   0,             0.47008,               0.675,             0.65374,             0.24638,            0.065129,            0.052434,                   0,           0.0075003,           0.0075003,           0.0075003
                 103,            0.066806,            0.057656,                   0,             0.26506,                 0.7,             0.49115,              0.2019,            0.059174,            0.066133,                   0,           0.0074755,           0.0074755,           0.0074755
                 104,            0.060426,            0.062196,                   0,             0.26506,                 0.7,             0.49115,              0.2019,            0.059174,            0.066133,                   0,           0.0074507,           0.0074507,           0.0074507
                 105,            0.057681,            0.061697,                   0,              0.4078,             0.70589,             0.58096,             0.15713,            0.070151,            0.061379,                   0,            0.007426,            0.007426,            0.007426
                 106,            0.068397,             0.05776,                   0,              0.4078,             0.70589,             0.58096,             0.15713,            0.070151,            0.061379,                   0,           0.0074013,           0.0074013,           0.0074013
                 107,            0.066406,             0.05686,                   0,             0.27173,                0.75,             0.26712,            0.095822,             0.06912,            0.063368,                   0,           0.0073765,           0.0073765,           0.0073765
                 108,            0.063333,            0.061613,                   0,             0.27173,                0.75,             0.26712,            0.095822,             0.06912,            0.063368,                   0,           0.0073517,           0.0073517,           0.0073517
                 109,            0.064068,            0.057824,                   0,             0.33595,                0.65,             0.59015,             0.18144,            0.068089,            0.069194,                   0,            0.007327,            0.007327,            0.007327
                 110,            0.067221,            0.060676,                   0,             0.33595,                0.65,             0.59015,             0.18144,            0.068089,            0.069194,                   0,           0.0073023,           0.0073023,           0.0073023
                 111,            0.065901,            0.064756,                   0,             0.31185,               0.675,             0.35646,             0.14967,            0.064294,            0.057524,                   0,           0.0072775,           0.0072775,           0.0072775
                 112,            0.057371,            0.071515,                   0,             0.31185,               0.675,             0.35646,             0.14967,            0.064294,            0.057524,                   0,           0.0072527,           0.0072527,           0.0072527
                 113,            0.058933,            0.063658,                   0,             0.45404,                 0.7,             0.65763,             0.32151,            0.058088,            0.062149,                   0,            0.007228,            0.007228,            0.007228
                 114,            0.053053,            0.049272,                   0,             0.45404,                 0.7,             0.65763,             0.32151,            0.058088,            0.062149,                   0,           0.0072033,           0.0072033,           0.0072033
                 115,            0.054889,            0.049275,                   0,             0.29849,             0.41498,              0.3932,            0.075119,            0.082469,            0.071982,                   0,           0.0071785,           0.0071785,           0.0071785
                 116,            0.071603,            0.063602,                   0,             0.29849,             0.41498,              0.3932,            0.075119,            0.082469,            0.071982,                   0,           0.0071538,           0.0071538,           0.0071538
                 117,            0.068915,            0.056253,                   0,             0.63084,               0.775,               0.759,             0.31926,            0.056666,            0.053396,                   0,            0.007129,            0.007129,            0.007129
                 118,             0.05045,            0.069926,                   0,             0.63084,               0.775,               0.759,             0.31926,            0.056666,            0.053396,                   0,           0.0071042,           0.0071042,           0.0071042
                 119,            0.051637,            0.062477,                   0,             0.52373,                 0.8,              0.7537,             0.22421,            0.063369,            0.065317,                   0,           0.0070795,           0.0070795,           0.0070795
                 120,            0.054593,            0.063896,                   0,             0.52373,                 0.8,              0.7537,             0.22421,            0.063369,            0.065317,                   0,           0.0070547,           0.0070547,           0.0070547
                 121,            0.051781,            0.057961,                   0,             0.26485,               0.875,             0.27164,             0.11517,            0.062811,            0.060791,                   0,             0.00703,             0.00703,             0.00703
                 122,            0.059395,            0.063551,                   0,             0.26485,               0.875,             0.27164,             0.11517,            0.062811,            0.060791,                   0,           0.0070053,           0.0070053,           0.0070053
                 123,            0.059007,            0.056966,                   0,             0.81512,                0.75,             0.80257,             0.36788,             0.05588,            0.051471,                   0,           0.0069805,           0.0069805,           0.0069805
                 124,            0.049582,            0.057472,                   0,             0.81512,                0.75,             0.80257,             0.36788,             0.05588,            0.051471,                   0,           0.0069558,           0.0069558,           0.0069558
                 125,            0.050655,            0.058942,                   0,             0.58555,             0.74186,             0.79647,             0.28376,            0.060869,            0.056911,                   0,            0.006931,            0.006931,            0.006931
                 126,            0.052266,            0.052815,                   0,             0.58555,             0.74186,             0.79647,             0.28376,            0.060869,            0.056911,                   0,           0.0069063,           0.0069063,           0.0069063
                 127,            0.052829,            0.055769,                   0,             0.48104,                 0.7,             0.72141,             0.27182,            0.056705,            0.059355,                   0,           0.0068815,           0.0068815,           0.0068815
                 128,            0.050681,            0.053614,                   0,             0.48104,                 0.7,             0.72141,             0.27182,            0.056705,            0.059355,                   0,           0.0068568,           0.0068568,           0.0068568
                 129,            0.049866,            0.059318,                   0,             0.67155,               0.675,             0.75332,             0.21098,            0.061938,            0.062107,                   0,            0.006832,            0.006832,            0.006832
                 130,            0.056871,            0.051446,                   0,             0.67155,               0.675,             0.75332,             0.21098,            0.061938,            0.062107,                   0,           0.0068073,           0.0068073,           0.0068073
                 131,            0.058376,            0.060128,                   0,              0.5001,               0.575,             0.58596,             0.16209,            0.058742,            0.055299,                   0,           0.0067825,           0.0067825,           0.0067825
                 132,            0.053999,            0.058788,                   0,              0.5001,               0.575,             0.58596,             0.16209,            0.058742,            0.055299,                   0,           0.0067577,           0.0067577,           0.0067577
                 133,            0.056746,            0.070111,                   0,              0.7262,             0.72949,             0.83971,             0.32804,            0.054733,            0.055756,                   0,            0.006733,            0.006733,            0.006733
                 134,            0.052651,            0.058473,                   0,              0.7262,             0.72949,             0.83971,             0.32804,            0.054733,            0.055756,                   0,           0.0067082,           0.0067082,           0.0067082
                 135,            0.053718,            0.046932,                   0,             0.64728,             0.77999,             0.80703,             0.32429,            0.052883,            0.055057,                   0,           0.0066835,           0.0066835,           0.0066835
                 136,            0.049244,            0.057791,                   0,             0.64728,             0.77999,             0.80703,             0.32429,            0.052883,            0.055057,                   0,           0.0066587,           0.0066587,           0.0066587
                 137,            0.048437,            0.046453,                   0,             0.77154,                0.76,             0.81159,             0.30942,            0.058541,            0.056881,                   0,            0.006634,            0.006634,            0.006634
                 138,              0.0576,            0.062509,                   0,             0.77154,                0.76,             0.81159,             0.30942,            0.058541,            0.056881,                   0,           0.0066092,           0.0066092,           0.0066092
                 139,            0.054149,            0.060118,                   0,             0.52272,                 0.6,             0.59424,             0.16184,            0.061814,            0.057919,                   0,           0.0065845,           0.0065845,           0.0065845
                 140,            0.047856,            0.053511,                   0,             0.52272,                 0.6,             0.59424,             0.16184,            0.061814,            0.057919,                   0,           0.0065598,           0.0065598,           0.0065598
                 141,            0.048218,            0.066889,                   0,             0.83979,                 0.8,             0.88287,             0.38491,             0.04823,            0.058285,                   0,            0.006535,            0.006535,            0.006535
                 142,            0.051234,            0.063408,                   0,             0.83979,                 0.8,             0.88287,             0.38491,             0.04823,            0.058285,                   0,           0.0065102,           0.0065102,           0.0065102
                 143,            0.049452,            0.060221,                   0,             0.58885,               0.725,             0.76561,             0.26084,            0.059886,            0.060113,                   0,           0.0064855,           0.0064855,           0.0064855
                 144,            0.048441,            0.046124,                   0,             0.58885,               0.725,             0.76561,             0.26084,            0.059886,            0.060113,                   0,           0.0064608,           0.0064608,           0.0064608
                 145,            0.046016,            0.043359,                   0,             0.81575,               0.825,             0.88077,             0.38093,            0.049501,            0.054579,                   0,            0.006436,            0.006436,            0.006436
                 146,             0.05095,            0.066385,                   0,             0.81575,               0.825,             0.88077,             0.38093,            0.049501,            0.054579,                   0,           0.0064112,           0.0064112,           0.0064112
                 147,            0.049876,            0.056376,                   0,             0.50529,               0.875,             0.73408,             0.28521,            0.055222,            0.057818,                   0,           0.0063865,           0.0063865,           0.0063865
                 148,            0.043485,            0.048663,                   0,             0.50529,               0.875,             0.73408,             0.28521,            0.055222,            0.057818,                   0,           0.0063618,           0.0063618,           0.0063618
                 149,            0.042922,             0.05173,                   0,             0.87469,               0.875,             0.92877,             0.45552,            0.046012,             0.05285,                   0,            0.006337,            0.006337,            0.006337
